缺陷编号,工卡描述中文,工卡描述英文,相关工卡号,相关工卡序号,区域,区域号,候选工卡,工卡描述,工卡描述已开工卡号,参考手册,候选工卡描述英文,候选工卡描述中文,已开工卡号,Candidate Workcard Description (English),Candidate Workcard Description (Chinese)
DEF-206,,GALLEY M2 M207 MID SHAFT TURN RETAINER FAILED,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-207,,GALLEY M2 COMPARTMENT M231 DOOR TURN-RETAINER FAILED. QTY:2EA,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-208,,GALLEY M2 RH SIDEWALL PANEL SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-209,,GALLEY M2 AFT SURFACE VERTICAL PLASTIC TRIM BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-210,,GALLEY M2 AFT AISLE SURFACE UPPER AND LOWER WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874649.0,,,CMM25-25-02.REV.1,,,,GALLEY M2 AFT WALL PANEL SURFACE UPPER/LOWER WALLPAPER HAVE DENT.,
DEF-211,,GALLEY M5 RH SIDEWALL PANEL SURFACE WALLPAPER WORN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-212,,GALLEY TROLLEY COMPARTMENT DOOR SURFACE FOLDING TABLE SIDE WHITE BUMPER WORN. LOC:A222、A320、M117、M717、M521、M115、F216,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-213,,GALLEY TROLLEY COMPARTMENT DOOR SURFACE FOLDING TABLE STRUCTURE LOWER ANGLE PLATE BROKEN.LOC:A222,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007644621.0,,,CMM25-25-02.REV.1,,,,"THE METAL STRIP AT THE HINGE OF GALLEY TROLLEY CABINET DOOR BROKEN:A222,A223,F221",
DEF-214,,"GALLEY A3 FOLDING TABLE HINGE BLOCK SUPPORT BROKEN,LOC:A320",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-215,,GALLEY TROLLEY COMPARTMENT DOOR SURFACE FOLDING TABLE SURFACE LEATHER WORN. LOC:A320 A222 M717,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007524902.0,,,CMM25-25-02.REV.1,,,,GALLEY TROLLEY DOOR BUMPER WORN,
DEF-216,,GALLEY F1 WORKTOP LH SIDE CONNECT PLATE DEFORMATION.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-217,,GALLEY A2 A222 TROLLEY DOOR FOLDING SEAT BUMPER PLATE MISSING.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007874886.0,,,CMM25-25-02.REV.1,,,,"GALLEY TROLLEY DOOR FOLDING SEAT SIDE BUMPER MISSING,LOC:A322.A220",
DEF-218,,"CABIN GALLEY TROLLEY DOOR HINGE BROKEN,LOC:M716 M113A M229 M718 A223 M519 A123 M521 M720 M225 M231,QTY:11EA",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007350924.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY TROLLEY COMPARTMENT DOOR HANDLE BROKEN,LOC:M522 M717 M718 M719 M117 M521 M519 M720 A122 A123 M716 A125 A320 A321 M523 A221 A222 A121 A220 F113 F114 A126 A127 M226 M227 A223 A224 M115 M116 M237 F220 M225 M229 M228 F219",
DEF-219,,CABIN RH 2# DOOR FWD STOWAGE MS1 LOWER FLOOR SEAL AND THRESHOLD BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-220,,CABIN #2 DOOR RH SIDE CLOSET MS1 AFT WALL SURFACE WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-221,,GALLEY A2 COMPARTMENT DRAWER A215 RAIL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-222,,GALLEY M2 M7 RH SIDE WALL PANEL FRONT EXTRUSION LOWER PLATE MISSING.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-223,,GALLEY M5 TURN RETAINER KNOB COTTOR PIN BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-224,,"GALLEY M2 A2 TURN RETAINER FAILED,LOC:M212(R) A212(R),QTY:2EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-225,,"CABIN GALLEY A3 LOWER FITTING BOLT AND WASHER MISSING,LOC:A319",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007876562.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY A3 LOWER FITTING BOLT AND WASHER MISSING,LOC:A320,QTY:2EA",
DEF-226,,"GALLEY TROLLEY DOOR HINGE P-SEAL BROKEN,LOC:A123,M716,M523,M115,M229,M519,A125,M228",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007355707.0,,,CMM25-25-02.REV.1,,,,GALLEY A123 DOOR HINGE EXTRUSION BROKEN,
DEF-227,,"CABIN GALLEY COMPARTMENT DOOR SURFACE WALLPAPER WORN,LOC:F215,M218,M219,M224,M221,F305,M110,M210,M108,F109,F221,F221,M209,F221BC,F222",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007463722.0,,,CMM25-25-02.REV.1,,,,CABIN GALLEY M1 DOOR HANDLE WORN,
DEF-228,,"CABIN GALLEY COMPARTMENT DOOR SURFACE WALLPAPER WORN,LOC:M229,M230,M519,F219,M113,M226,M227,M225,F220,M228,M231,M521,M716,M716,M117",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007463722.0,,,CMM25-25-02.REV.1,,,,CABIN GALLEY M1 DOOR HANDLE WORN,
DEF-229,,GALLEY A1 A2 A3 DIVIDER PANEL LOWER FITTING BOLT AND WASHER RUST.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-230,,"CABIN A1 GALLEY COMPARTMENT A125 DIVIDER PANEL LOWER FITTING CORROSION,QTY:1EA.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007592049.0,,,CMM25-25-02.REV.1,,,,"CABIN A1 GALLEY COMPARTMENT A124 DIVIDER PANEL LOWER FITTING BROKEN,QTY:1EA.",
DEF-231,,"CABIN GALLEY COMPARTMENT DOOR EDGE TRIM BROKEN,LOC:A207,M218,F215,A213,M219,M210",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007886846.0,,,CMM25-25-02.REV.1,,,,"CABIN GALLEY M2 COMPARTMENT M218 LOWER TRIM INSERT BROKEN,QTY:1EA.",
DEF-232,,GALLEY A1 COMPARTMENT DOOR A111 SURFACE PLACARD BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007541182.0,,,CMM25-25-02.REV.1,,,,GALLEY M2 COMPARTMENT INSIDE SURFACE BROKEN,
DEF-233,,CABIN RH 2# DOOR FWD STOWAGE OUTBD SEAL RETAINER LOOSE.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007867606.0,,,CMM25-25-02.REV.1,,,,CABIN RH 2# DOOR FWD STOWAGE DOOR MS101 EDGE TRIM LOOSE.,
DEF-234,,"GALLEY A1 A2 A3 TROLLEY DOOR A224,A223,A222,A221,A127,A125,A322,A321 HANDLE BROKEN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-235,,"GALLEY M7 TROLLEY DOOR M720,M719,M716 HANDLE BROKEN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007541193.0,,,CMM25-25-02.REV.1,,,,"GALLEY TROLLEY DOOR HINGE BROKEN:F217,F221,F114,M523,M525,M528,M720",
DEF-236,,"GALLEY M5 TROLLEY DOOR M519,M519,M522 HANDLE BROKEN.",客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-237,,GALLEY M5 TROLLEY DOOR M521 TOP SEAL BROKEN.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007879423.0,,,CMM25-25-02.REV.1,,,,"GALLEY TROLLEY DOOR HINGE SIDE WHITE RUBBER SEAL BROKEN,LOC:F217 F220 M115 M118 M225 M227 M228 M522 M521 M716 M718 A223 A222 A220 A320",
DEF-238,,CABIN RH 2# DOOR FWD STOWAGE COMPARTMENT DOOR MS111 HINGE SIDE LOWER CORNER CAP MISSING.,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007867446.0,,,CMM25-25-02.REV.1,,,,CABIN RH 2# DOOR FWD STOWAGE COMPARTMENT MS102 DOORFRAME TRIM MISSING.,
DEF-239,,CABIN FWD BAR AISLE DOOR SURFACE WALLPAPER WORN,客户要求/CUSTOMER REQUIREMENT,1,机上,200,,,,CMM25-25-02.REV.1,,,,,
DEF-240,,CABIN FWD BAR CABINET DOOR HINGE LOOSE,客户要求/CUSTOMER REQUIREMENT,1,机上,200,500007348485.0,,,CMM25-25-02.REV.1,,,,CABIN FWD BAR LH FACE UPPER CABINET DOOR LATCH LOOSE.,
